Sent,Word,Tag
sent: 0,Gully,O
sent: 0,cricket,O
sent: 0,chal,O
sent: 0,raha,O
sent: 0,hain,O
sent: 0,yaha,O
sent: 0,"""",O
sent: 0,(,O
sent: 0,Soniya,B-PERSON
sent: 0,),O
sent: 0,Gandhi,B-PERSON
sent: 0,"""",O
sent: 1,I,O
sent: 1,liked,O
sent: 1,a,O
sent: 1,@YouTube,O
sent: 1,video,O
sent: 1,https://t.co/DmVqhZbdaI,O
sent: 1,Kabhi,O
sent: 1,Palkon,O
sent: 1,Pe,O
sent: 1,Aasoon,O
sent: 1,Hai-,O
sent: 1,Kishore,B-PERSON
sent: 1,Kumar,I-PERSON
sent: 1,-Vocal,O
sent: 1,Cover,O
sent: 1,By,O
sent: 1,Stephen,B-PERSON
sent: 1,Qadir,I-PERSON
sent: 2,Ab,O
sent: 2,yeh,O
sent: 2,kon,O
sent: 2,Bol,O
sent: 2,raha,O
sent: 2,hai,O
sent: 2,Aaj,O
sent: 2,#MahaShivratri,O
sent: 2,pe,O
sent: 2,Aap,O
sent: 2,wale,O
sent: 2,Delhi,B-PLACE
sent: 2,me,O
sent: 2,WiFi,O
sent: 2,ke,O
sent: 2,sath,O
sent: 2,30,O
sent: 2,min,O
sent: 2,Weed,O
sent: 2,bhi,O
sent: 2,free,O
sent: 2,de,O
sent: 2,rahe,O
sent: 2,hai,O
sent: 2,#,O
sent: 3,RT,O
sent: 3,@AfsanaMeet,O
sent: 3,:,O
sent: 3,@Gurmeetramrahim,O
sent: 3,#MSGdedicatesAwardToGuruji,O
sent: 3,Naanu,O
sent: 3,papa,O
sent: 3,yepieee,O
sent: 3,.,O
sent: 3,Congratulations,O
sent: 3,and,O
sent: 3,celebrations,O
sent: 3,.,O
sent: 3,https://t.co/Hn3vFWvdrW,O
sent: 4,@kapilv20012001,O
sent: 4,@vaidehisachin,O
sent: 4,log,O
sent: 4,baat,O
sent: 4,samjhane,O
sent: 4,ke,O
sent: 4,liye,O
sent: 4,ek,O
sent: 4,sher,O
sent: 4,padhte,O
sent: 4,hai,O
sent: 4,modiji,B-PERSON
sent: 4,puri,O
sent: 4,gazal,O
sent: 4,padh,O
sent: 4,gaye,O
sent: 4,.,O
sent: 5,Mahashivratri,O
sent: 5,celebrations,O
sent: 5,at,O
sent: 5,my,O
sent: 5,native,O
sent: 5,place,O
sent: 5,pomendi,B-PLACE
sent: 5,along,O
sent: 5,with,O
sent: 5,Nandini,B-PERSON
sent: 5,Vichare,I-PERSON
sent: 5,",",O
sent: 5,Latisha,B-PERSON
sent: 5,Rajan,I-PERSON
sent: 5,Vichare,I-PERSON
sent: 5,",",O
sent: 5,Mandar,B-PERSON
sent: 5,Vichare,I-PERSON
sent: 5,",",O
sent: 5,Kalpesh,B-PERSON
sent: 5,Salvi,I-PERSON
sent: 6,@Gurmeetramrahim,O
sent: 6,Dhan,B-PERSON
sent: 6,Dhan,I-PERSON
sent: 6,Satguru,I-PERSON
sent: 6,Tera,O
sent: 6,Hi,O
sent: 6,Aasra,O
sent: 6,#MSGlovesHumanity,O
sent: 6,Salute,O
sent: 6,2,O
sent: 6,MSG,B-ORGANISATION
sent: 6,https://t.co/D07r9bFW5r,O
sent: 7,#RailBudget2015,O
sent: 7,hope,O
sent: 7,it,O
sent: 7,is,O
sent: 7,for,O
sent: 7,d,O
sent: 7,development,O
sent: 7,and,O
sent: 7,for,O
sent: 7,AAM,O
sent: 7,AADMI,O
sent: 7,...,O
sent: 7,#PrabhuKiRail,O
sent: 7,Prabhu,B-PERSON
sent: 7,ki,O
sent: 7,kripa,O
sent: 7,:),O
sent: 8,@emraanhashmi,O
sent: 8,Today,O
sent: 8,is,O
sent: 8,Mahashivratri,O
sent: 8,.,O
sent: 8,Kya,O
sent: 8,pharak,O
sent: 8,padta,O
sent: 8,hai,O
sent: 9,Will,O
sent: 9,Modi,B-PERSON
sent: 9,and,O
sent: 9,Manohar,B-PERSON
sent: 9,Parrikar,I-PERSON
sent: 9,apologize,O
sent: 9,to,O
sent: 9,nation,O
sent: 9,for,O
sent: 9,fake,O
sent: 9,Pak,B-PLACE
sent: 9,Boat,O
sent: 9,?,O
sent: 9,#MahaShivratri,O
sent: 9,Vyapam,O
sent: 9,#BANvsAFG,O
sent: 9,Pakistan,B-PLACE
sent: 9,Verna,O
sent: 9,#,O
sent: 9,Mumbai,B-PLACE
sent: 10,RT,O
sent: 10,@rameshchahal,O
sent: 10,:,O
sent: 10,@Gurmeetramrahim,O
sent: 10,#MSG2In505crOn200thDay,O
sent: 10,Superb,O
sent: 10,.......,O
sent: 10,guru,O
sent: 10,pa,O
sent: 10,....,O
sent: 11,@JoinAAP,O
sent: 11,@prena_,O
sent: 11,baap,O
sent: 11,re,O
sent: 11,baap,O
sent: 11,free,O
sent: 11,khor,O
sent: 11,ho,O
sent: 11,saare,O
sent: 11,Ke,O
sent: 11,saare,O
sent: 11,#AAPtards,O
sent: 11,.,O
sent: 11,Mehnat,O
sent: 11,se,O
sent: 11,kuch,O
sent: 11,mat,O
sent: 11,karna,O
sent: 12,@SANDEEPCOL,O
sent: 12,@narendramodi,O
sent: 12,Tune,O
sent: 12,bola,O
sent: 12,to,O
sent: 12,samajh,O
sent: 12,ho,O
sent: 12,gaya,O
sent: 12,sandy,O
sent: 12,bhai,O
sent: 12,..,O
sent: 12,Raat,O
sent: 12,bahut,O
sent: 12,go,O
sent: 12,gayee,O
sent: 12,ja,O
sent: 12,so,O
sent: 12,ja,O
sent: 12,..,O
sent: 12,Nahi,O
sent: 12,to,O
sent: 12,bavala-panti,O
sent: 12,karta,O
sent: 12,rahega,O
sent: 13,@coolfunnytshirt,O
sent: 13,250,O
sent: 13,k,O
sent: 13,baad,O
sent: 13,audience,O
sent: 13,ko,O
sent: 13,bhi,O
sent: 13,ball,O
sent: 13,dikhayi,O
sent: 13,nahi,O
sent: 13,di,O
sent: 13,hogi,O
sent: 13,aymond,O
sent: 13,India,B-PLACE
sent: 13,version,O
sent: 13,https://t.co/0vOwIqg2NJ,O
sent: 13,via,O
sent: 13,@sharethis,O
sent: 14,RT,O
sent: 14,@mailtosamip,O
sent: 14,:,O
sent: 14,Not,O
sent: 14,sure,O
sent: 14,whats,O
sent: 14,more,O
sent: 14,challenging,O
sent: 14,",",O
sent: 14,listening,O
sent: 14,Sonia's,B-PERSON
sent: 14,speech,O
sent: 14,or,O
sent: 14,hearing,O
sent: 14,Tarek,B-PERSON
sent: 14,Shah's,I-PERSON
sent: 14,Angel,O
sent: 14,#ScamQueenOnRoad,O
sent: 15,@gurmeetramrahim,O
sent: 15,#PiousBhandara,O
sent: 15,woww,O
sent: 15,great,O
sent: 15,papa,O
sent: 15,ji,O
sent: 16,RT,O
sent: 16,@KiranKS,O
sent: 16,:,O
sent: 16,#MahaShivratri,O
sent: 16,:,O
sent: 16,Adi,B-PERSON
sent: 16,Shankara's,I-PERSON
sent: 16,amazing,O
sent: 16,Nirvana,O
sent: 16,Shatakam,O
sent: 16,.,O
sent: 16,South,O
sent: 16,Indian,O
sent: 16,style,O
sent: 16,:,O
sent: 16,http://t.co/jnEadDi4ui,O
sent: 16,http://t.co/BnEZj0PYqp,O
sent: 17,Dear,O
sent: 17,All,O
sent: 17,",",O
sent: 17,Aap,O
sent: 17,sabhi,O
sent: 17,Ko,O
sent: 17,Mahashivratri,O
sent: 17,ki,O
sent: 17,hardik,O
sent: 17,shubhkaamnaye,O
sent: 17,.,O
sent: 17,Thanks,O
sent: 17,Vikas,B-PERSON
sent: 17,Kumar-President,O
sent: 17,Helpline,O
sent: 17,+917838021969,O
sent: 18,@SRKsCombatant,O
sent: 18,@Imab1d,O
sent: 18,@Pyaari_RiTu__,O
sent: 18,@SrkSaroz,O
sent: 18,@SRKsWarrior2_,O
sent: 18,acha,O
sent: 18,...,O
sent: 18,kahan,O
sent: 18,chaligeyi,O
sent: 18,he,O
sent: 18,fir,O
sent: 18,wo,O
sent: 18,?,O
sent: 19,@ArvindKejriwal,O
sent: 19,Totaly,O
sent: 19,chutiyapa,O
sent: 19,suru,O
sent: 19,kar,O
sent: 19,diya,O
sent: 19,.,O
sent: 19,Yadi,O
sent: 19,tu,O
sent: 19,sahi,O
sent: 19,hai,O
sent: 19,public,O
sent: 19,waise,O
sent: 19,hi,O
sent: 19,jita,O
sent: 19,degi,O
sent: 19,.,O
sent: 19,Ye,O
sent: 19,sab,O
sent: 19,nutanki,O
sent: 19,mat,O
sent: 19,kar,O
sent: 20,@meet1973vibe,O
sent: 20,Itna,O
sent: 20,sab,O
sent: 20,post,O
sent: 20,kiya,O
sent: 20,aur,O
sent: 20,aapko,O
sent: 20,sirf,O
sent: 20,Dimaag,O
sent: 20,hi,O
sent: 20,chahiye,O
sent: 20,:D,O
sent: 21,RT,O
sent: 21,@Kailashkher,O
sent: 21,:,O
sent: 21,To,O
sent: 21,all,O
sent: 21,Kashir,O
sent: 21,Panun,O
sent: 21,Herath,O
sent: 21,Mubarak,O
sent: 21,.,O
sent: 21,Happy,O
sent: 21,Mahashivratri,O
sent: 21,to,O
sent: 21,All,O
sent: 21,.,O
sent: 21,Shiv,B-PERSON
sent: 21,Shashwat,O
sent: 21,Hain,O
sent: 21,",",O
sent: 21,Sthir,O
sent: 21,Hain,O
sent: 21,",",O
sent: 21,ShantSalone,O
sent: 21,Hai,O
sent: 21,",",O
sent: 21,Utpatti,O
sent: 21,Ke,O
sent: 22,Tu,O
sent: 22,ho,O
sent: 22,gyi,O
sent: 22,permanent,O
sent: 22,kisi,O
sent: 22,or,O
sent: 22,ki,O
sent: 22,",",O
sent: 22,Tujhe,O
sent: 22,chahne,O
sent: 22,wale,O
sent: 22,abi,O
sent: 22,contractual,O
sent: 22,hai,O
sent: 22,....,O
sent: 22,Purely,O
sent: 22,contractual,O
sent: 22,...,O
sent: 23,Audi,B-ORGANISATION
sent: 23,A6,O
sent: 23,for,O
sent: 23,Rs,O
sent: 23,17,O
sent: 23,lakh,O
sent: 23,:,O
sent: 23,Chennai,B-PLACE
sent: 23,after,O
sent: 23,flood,O
sent: 23,is,O
sent: 23,car,O
sent: 23,lovers,O
sent: 23,paradise,O
sent: 23,https://t.co/6SMWlV8Zr0,O
sent: 23,"""",O
sent: 23,RCC,B-PLACE
sent: 23,road,I-PLACE
sent: 23,"""",O
sent: 23,(,O
sent: 23,Ghatlodia,B-PLACE
sent: 23,),O
sent: 23,",",O
sent: 23,its,O
sent: 23,a,O
sent: 23,line,O
sent: 23,of,O
sent: 23,Growth,O
sent: 23,!!,O
sent: 24,@ashutosh83B,O
sent: 24,Aap,O
sent: 24,jaisa,O
sent: 24,talentd,O
sent: 24,banda,O
sent: 24,jiske,O
sent: 24,pass,O
sent: 24,hoga,O
sent: 24,woh,O
sent: 24,top,O
sent: 24,50,O
sent: 24,kya,O
sent: 24,top,O
sent: 24,5,O
sent: 24,pe,O
sent: 24,pahunch,O
sent: 24,jayega,O
sent: 24,.,O
sent: 24,Aap,O
sent: 24,AK,B-PERSON
sent: 24,ko,O
sent: 24,Punjab,B-PLACE
sent: 24,bhejke,O
sent: 24,khud,O
sent: 24,Delhi,B-PLACE
sent: 24,ke,O
sent: 24,CM,O
sent: 24,banjao,O
sent: 24,.,O
sent: 25,Dear,O
sent: 25,India,B-PLACE
sent: 25,",",O
sent: 25,Ek,O
sent: 25,baar,O
sent: 25,phir,O
sent: 25,bol,O
sent: 25,do,O
sent: 25,"""",O
sent: 25,Aany,O
sent: 25,dyy,O
sent: 25,"""",O
sent: 25,#IndvsPak,O
sent: 25,#CWC15,O
sent: 26,RT,O
sent: 26,@DainikBhaskar,O
sent: 26,:,O
sent: 26,Aapki,O
sent: 26,Acchi,O
sent: 26,zidd,O
sent: 26,kya,O
sent: 26,hai,O
sent: 26,?,O
sent: 26,https://t.co/8JNuWXcHwg,O
sent: 27,RT,O
sent: 27,@MukulKMishra,O
sent: 27,:,O
sent: 27,Tumhi,O
sent: 27,log,O
sent: 27,bole,O
sent: 27,ki,O
sent: 27,campus,O
sent: 27,se,O
sent: 27,police,O
sent: 27,hata,O
sent: 27,lo,O
sent: 27,https://t.co/LEziPujl17,O
sent: 28,Hindu,O
sent: 28,kaam,O
sent: 28,km,O
sent: 28,krte,O
sent: 28,h,O
sent: 28,or,O
sent: 28,dhapli,O
sent: 28,jyada,O
sent: 28,bjate,O
sent: 28,h,O
sent: 28,...,O
sent: 28,baaki,O
sent: 28,log,O
sent: 28,shanti,O
sent: 28,se,O
sent: 28,apna,O
sent: 28,kaam,O
sent: 28,kr,O
sent: 28,jate,O
sent: 28,h,O
sent: 28,#Gharwapsi,O
sent: 28,#MahaShivratri,O
sent: 28,@RSS4India,O
sent: 29,RT,O
sent: 29,@bdnews_org,O
sent: 29,:,O
sent: 29,#bdnews,O
sent: 29,#bangladesh,O
sent: 29,Eight,O
sent: 29,militants,O
sent: 29,from,O
sent: 29,Bangladesh,B-PLACE
sent: 29,surrender,O
sent: 29,in,O
sent: 29,Tripura,B-PLACE
sent: 29,-,O
sent: 29,Business,B-ORGANISATION
sent: 29,Standard,I-ORGANISATION
sent: 29,:,O
sent: 29,NewsxEight,O
sent: 29,milit,O
sent: 29,...,O
sent: 29,https://t,O
sent: 30,PIB_India,B-ORGANISATION
sent: 30,#UHF,O
sent: 30,RT,O
sent: 30,@MIB_India,O
sent: 30,:,O
sent: 30,#RailBudget2015,O
sent: 30,-,O
sent: 30,Glossary,O
sent: 30,of,O
sent: 30,Budgetary,O
sent: 30,Terms,O
sent: 30,(,O
sent: 30,5/5,O
sent: 30,),O
sent: 30,#,O
sent: 30,RailMinIndia,B-ORGANISATION
sent: 30,http://t.co/2o0ljvHbNN,O
sent: 31,RT,O
sent: 31,@ShankarNaresh1,O
sent: 31,:,O
sent: 31,Wish,O
sent: 31,U,O
sent: 31,Happy,O
sent: 31,Mahashivrathiri,O
sent: 31,To,O
sent: 31,All,O
sent: 31,#MahaShivratri,O
sent: 31,@AnjanaVJ,O
sent: 31,@Manivj07,O
sent: 31,@jan_iyer,O
sent: 31,@iamlakshmirai,O
sent: 31,sunday,O
sent: 31,http://t.co/qPzDRUxiOa,O
sent: 32,:,O
sent: 32,LAST,O
sent: 32,NIGHT,O
sent: 32,MAHASHIVRATRI,O
sent: 32,RUDRABHISHEK,O
sent: 32,.....,O
sent: 32,Vastraadi,O
sent: 32,Arpan,O
sent: 32,...,O
sent: 32,http://t.co/bscng4oXJ7,O
sent: 33,RT,O
sent: 33,@anuja_swamy,O
sent: 33,:,O
sent: 33,@ashramindia,O
sent: 33,Mahashivratri,O
sent: 33,k,O
sent: 33,pavan,O
sent: 33,parv,O
sent: 33,pr,O
sent: 33,param,O
sent: 33,pujya,O
sent: 33,sant,O
sent: 33,shree,B-PERSON
sent: 33,asaram,I-PERSON
sent: 33,bapu,I-PERSON
sent: 33,ji,O
sent: 33,ke,O
sent: 33,shree,O
sent: 33,charano,O
sent: 33,me,O
sent: 33,mera,O
sent: 33,koti,O
sent: 33,koti,O
sent: 33,vanda,O
sent: 34,#RailBudget2015,O
sent: 34,higher,O
sent: 34,expectations,O
sent: 34,...,O
sent: 34,Dikaho,O
sent: 34,ache,O
sent: 34,din,O
sent: 34,...,O
sent: 34,http://t.co/gBjdED9iM5,O
sent: 35,RT,O
sent: 35,@makeinindia,O
sent: 35,:,O
sent: 35,India,B-PLACE
sent: 35,has,O
sent: 35,recently,O
sent: 35,allowed,O
sent: 35,up,O
sent: 35,to,O
sent: 35,100%,O
sent: 35,#FDI,O
sent: 35,via,O
sent: 35,the,O
sent: 35,automatic,O
sent: 35,route,O
sent: 35,for,O
sent: 35,medical,O
sent: 35,devices,O
sent: 35,.,O
sent: 35,#pharmaceuticals,O
sent: 35,#MakeInIndia,O
sent: 35,http,O
sent: 36,Ramdev,B-PERSON
sent: 36,Baba's,I-PERSON
sent: 36,Train,O
sent: 36,-,O
sent: 36,"""",O
sent: 36,Yoga,O
sent: 36,se,O
sent: 36,Hoga,O
sent: 36,"""",O
sent: 36,Express,O
sent: 36,#CelebTrains,O
sent: 36,#RailBudget2015,O
sent: 36,#PrabhuKiRail,O
sent: 37,@NautankiNinja,O
sent: 37,padhaai,O
sent: 37,hi,O
sent: 37,nahi,O
sent: 37,ho,O
sent: 37,paati,O
sent: 37,exam,O
sent: 37,ke,O
sent: 37,time,O
sent: 37,",",O
sent: 37,major,O
sent: 37,reason,O
sent: 37,twitter,B-ORGANISATION
sent: 37,nkajshuklabjp,O
sent: 37,@bhattkaran83,O
sent: 37,@iambmane,O
sent: 37,@NayakDeep,O
sent: 37,@hbparmar211,O
sent: 37,htt,O
sent: 38,@_taurus30,O
sent: 38,@SarahZaki11,O
sent: 38,Bachon,O
sent: 38,Aj,O
sent: 38,#MahaShivratri,O
sent: 38,he17,O
sent: 38,Somwar,O
sent: 38,Varat,O
sent: 38,karne,O
sent: 38,se,O
sent: 38,acha,O
sent: 38,PATI,O
sent: 38,milta,O
sent: 38,hai,O
sent: 38,.,O
sent: 38,Ye,O
sent: 38,Suwami,O
sent: 38,G,O
sent: 38,Kehte,O
sent: 38,hen,O
sent: 38,",",O
sent: 38,Muft,O
sent: 38,ki,O
sent: 38,Advice,O
sent: 38,di,O
sent: 38,he,O
sent: 39,PIB_India,B-ORGANISATION
sent: 39,#UHF,O
sent: 39,RT,O
sent: 39,MIB_India,B-ORGANISATION
sent: 39,:,O
sent: 39,LIVE,O
sent: 39,shortly,O
sent: 39,:,O
sent: 39,RailMinIndia,B-ORGANISATION
sent: 39,Minister,O
sent: 39,Shri,O
sent: 39,sureshpprabhu,B-PERSON
sent: 39,presenting,O
sent: 39,#RailBudget2015,O
sent: 39,at,O
sent: 39,https://t.co/vGJq4YCXyc,O
sent: 40,Behenchod,O
sent: 40,twitter,B-ORGANISATION
sent: 40,celeb,O
sent: 40,.,O
sent: 40,Shikar,B-PERSON
sent: 40,dhawan,I-PERSON
sent: 40,ko,O
sent: 40,replace,O
sent: 40,karna,O
sent: 40,chahte,O
sent: 40,the,O
sent: 40,na,O
sent: 40,.,O
sent: 40,#IndvsPak,O
sent: 41,@ImtiyazAzhar,O
sent: 41,Kashmiri,O
sent: 41,citizens,O
sent: 41,are,O
sent: 41,misled,O
sent: 41,by,O
sent: 41,the,O
sent: 41,propaganda,O
sent: 41,spread,O
sent: 41,by,O
sent: 41,the,O
sent: 41,anti-India,O
sent: 41,forces,O
sent: 41,in,O
sent: 41,and,O
sent: 41,outside,O
sent: 41,Kashmir,B-PLACE
sent: 42,@narendramodi,O
sent: 42,ji,O
sent: 42,",",O
sent: 42,will,O
sent: 42,come,O
sent: 42,to,O
sent: 42,India,B-PLACE
sent: 42,directly,O
sent: 42,with,O
sent: 42,French,O
sent: 42,president,O
sent: 42,on,O
sent: 42,Republic,O
sent: 42,day,O
sent: 43,Sonakshi,B-PERSON
sent: 43,Sinha,I-PERSON
sent: 43,out,O
sent: 43,of,O
sent: 43,the,O
sent: 43,Hasina,O
sent: 43,Biopic,O
sent: 43,!,O
sent: 43,https://t.co/hID75opFyz,O
sent: 44,RT,O
sent: 44,@smitaprakash,O
sent: 44,:,O
sent: 44,Na,O
sent: 44,.,O
sent: 44,Na,O
sent: 44,kar,O
sent: 44,yeh,O
sent: 44,sab,O
sent: 44,Afridi,B-PERSON
sent: 44,http://t.co/7QJiqGuqxq,O
sent: 45,@anjali_18_rasik,O
sent: 45,@prashanth_Kohli,O
sent: 45,@Drama_queenRJ,O
sent: 45,@riya9sobti,O
sent: 45,hein,O
sent: 45,:O,O
sent: 45,Kuch,O
sent: 45,vii,O
sent: 45,but,O
sent: 45,acha,O
sent: 45,haii,O
sent: 45,:-P,O
sent: 46,RT,O
sent: 46,@MosesSapir,O
sent: 46,:,O
sent: 46,Amitabh,B-PERSON
sent: 46,ji,O
sent: 46,&,O
sent: 46,Yash,B-PERSON
sent: 46,Chopra,I-PERSON
sent: 46,ji,O
sent: 46,during,O
sent: 46,a,O
sent: 46,shoot,O
sent: 46,for,O
sent: 46,"""",O
sent: 46,Kaala,O
sent: 46,Pathaar,O
sent: 46,"""",O
sent: 46,@SrBachchan,O
sent: 46,http://t.co/KUNbE8kU9R,O
sent: 47,RT,O
sent: 47,@nickhunterr,O
sent: 47,:,O
sent: 47,The,O
sent: 47,speed,O
sent: 47,of,O
sent: 47,"""",O
sent: 47,Bhai,O
