tokens,ner_tags
"[['Gully', 'cricket', 'chal', 'raha', 'hain', 'yaha', ' ', '(', 'Soniya', ') ', 'Gandhi', ' ']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'B-PERSON', 'O']]"
"[['I', 'liked', 'a', '@YouTube', 'video', 'URL', 'Kabhi', 'Palkon', 'Pe', 'Aasoon', 'Hai ', 'Kishore', 'Kumar', ' Vocal', 'Cover', 'By', 'Stephen', 'Qadir']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON']]"
"[['RT', '@rameshchahal', ':', '@Gurmeetramrahim', '#MSG2In505crOn200thDay', 'Superb', '.', 'guru', 'pa', '.']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['RT', '@nitibnsl', ':', '#DSSFoundationDay', 'swarg', 'Dharti', 'par', 'dekhna', 'hai', 'to', 'ek', 'visit', 'Dera', 'Sacha', 'Sauda', 'at', 'Sirsa', 'ki', 'ho', 'Jaaye', 'URL']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PLACE', 'O', 'O', 'O', 'O']]"
"[['@RoflGandhi ', 'itna', 'hone', 'ke', 'baad', 'bhi', 'airtel', 'se', 'port', 'kyu', 'nahi', 'kar', 'lete', 'dada', ' ? ? ', 'Idea', 'ka', 'ad', 'ab', 'abhishek', 'bachchan', 'nahi', 'kar', 'raha', '.!']]","[['O', 'O', 'O', 'O', 'O', 'O', 'B-ORGANISATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORGANISATION', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O']]"
"[['1100', 'yrs', 'old', 'Bhagwan', 'Brahma', 'from', 'Cambodia', '.', 'Combodia', 'was', 'also', 'a', 'prominent', '#IndianizedKingdoms', '.', '#HinduismAbroad', 'URL']]","[['O', 'O', 'O', 'O', 'B-PERSON', 'O', 'B-PLACE', 'O', 'B-PLACE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['RT', '@sarvjot19972', ':', '#MSGmissionHumanity', 'guru', 'ji', 'passion', 'again', 'help', 'people']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[[""'"", 'Ghar', 'wapsi', ""'"", 'of', 'world', 'cup', '#CWC15Final', '#Australia']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['@ArvindKejriwal', '@SirJadeja', 'aapka', 'kam', 'hai', 'cricket', 'khlna', 'cricket', 'kheliye', 'agr', 'aapko', 'politician', 'ki', 'trah', 'tweet', 'krna', 'hai', 'to', 'pahle', 'politics', 'me', 'aaiye']]","[['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
"[['RT', 'AAP Najafgarh', ' ', 'RT', 'INarendra7', ':', '.', 'ArvindKejriwal', 'on', 'the', 'Stage', '#HopeOfPunjabKejriwal', 'AamAadmiParty', 'URL', ' ']]","[['O', 'B-ORGANISATION', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O']]"
